player           ID,season  ID,match    ID,match date,home/away?,win/loss?,player style,player L/R?,opp    style,opp L/R?,player sets,opp. sets,game ID,player games,opp. games,server,point ID,player point,opp. point,serve result,serve location,return: cross/line,result,point winner,shot type,fore/back,cross/line,point length,error  pos.,comments
,,,,,,,,,,0,0,,5,1,P,,0,1,s,w,c,w,p,t,f,c,s,,
,,,,,,,,,,0,0,,5,1,P,,1,1,f,c,c,w,p,t,f,l,s,,
,,,,,,,,,,0,0,,5,1,P,,2,1,s,w,l,u,p,t,f,c,s,l,
,,,,,,,,,,0,0,,5,1,P,,3,1,f,c,c,w,p,t,f,c,s,,
,,,,,,,,,,1,0,,0,0,P,,0,0,f,c,l,f,p,o,b,c,m,l,
,,,,,,,,,,1,0,,0,0,P,,1,0,f,c,c,w,p,t,f,c,m,,
,,,,,,,,,,1,0,,0,0,P,,2,0,f,b,c,w,p,t,b,c,s,,
,,,,,,,,,,1,0,,0,0,P,,3,0,f,w,l,u,p,t,f,c,s,,
,,,,,,,,,,1,0,,1,0,O,,0,0,s,w,c,u,p,t,b,l,s,l,
,,,,,,,,,,1,0,,1,0,O,,1,0,f,w,l,u,p,t,f,c,s,n,
,,,,,,,,,,1,0,,1,0,O,,2,0,f,c,l,w,p,t,b,c,m,,
,,,,,,,,,,1,0,,1,0,O,,3,0,f,w,c,f,p,t,f,l,s,,
,,,,,,,,,,1,0,,2,0,P,,0,0,f,c,c,u,o,t,f,l,s,n,
,,,,,,,,,,1,0,,2,0,P,,0,1,f,w,l,f,p,t,f,c,s,n,
,,,,,,,,,,1,0,,2,0,P,,1,1,f,w,c,w,o,t,f,c,s,,
,,,,,,,,,,1,0,,2,0,P,,1,2,f,b,c,w,o,t,f,c,s,,
,,,,,,,,,,1,0,,2,0,P,,1,3,s,b,c,w,p,t,f,l,s,,
,,,,,,,,,,1,0,,2,0,P,,2,3,f,w,c,w,p,t,b,c,s,,
,,,,,,,,,,1,0,,2,0,P,,3,3,f,w,c,u,o,t,f,c,s,,
,,,,,,,,,,1,0,,2,1,O,,0,0,s,w,c,u,p,t,b,c,m,w,
,,,,,,,,,,1,0,,2,1,O,,1,0,s,w,l,u,o,o,b,c,s,l,
,,,,,,,,,,1,0,,2,1,O,,1,1,f,,,a,p,,,,,,
,,,,,,,,,,1,0,,2,1,O,,2,1,f,b,c,w,p,t,f,l,m,,
,,,,,,,,,,1,0,,2,1,O,,3,1,f,c,c,u,o,t,f,c,m,n,
,,,,,,,,,,1,0,,2,1,O,,3,2,f,b,c,u,o,t,f,c,s,l,
,,,,,,,,,,1,0,,2,1,O,,3,3,s,b,c,u,o,t,f,c,s,l,
,,,,,,,,,,1,0,,2,2,P,,0,0,f,b,c,u,o,t,f,c,s,n,
,,,,,,,,,,1,0,,2,2,P,,0,1,f,b,c,w,o,s,f,c,m,,
,,,,,,,,,,1,0,,2,2,P,,0,2,f,,,a,o,,,,,,
,,,,,,,,,,1,0,,2,2,P,,0,3,d,,,d,p,,,,,,
,,,,,,,,,,1,0,,2,2,P,,1,3,f,b,c,w,o,t,f,c,s,,
